mdb_source_id,data_type,location.country_code,location.subdivision_name,location.municipality,provider,name,urls.direct_download,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on
1190,gtfs,US,Arkansas,Little Rock,Rock Region Metro,,https://transitfeeds.com/p/central-arkansas-transit-authority/334/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-arkansas-rock-region-metro-gtfs-1190.zip?alt=media,,34.504759,34.903348,-92.497724,-92.115707,2022-03-23T18:51:23+00:00
1191,gtfs,ES,Gipuzkoa ,San Sebastián ,dBus,,https://transitfeeds.com/p/compania-del-tranvia-de-san-sebastian/702/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/es-gipuzkoa-dbus-gtfs-1191.zip?alt=media,,43.2777689602104,43.32593880362474,-2.0455710983006994,-1.9187707349818064,2022-03-23T18:51:47+00:00
1192,gtfs,IT,Regione Autonoma della Sardegna,,Collegamenti marittimi Grimaldi,,https://transitfeeds.com/p/collegamenti-marittimi-moby/1163/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-regione-autonoma-della-sardegna-collegamenti-marittimi-grimaldi-gtfs-1192.zip?alt=media,,35.78928874574407,44.411405000188,-5.803751351906152,15.0918573,2022-03-23T18:51:50+00:00
1193,gtfs,IT,Regione Autonoma della Sardegna,Cagliari,Consorzio Trasporti e Mobilità (CTM Cagliari),,https://transitfeeds.com/p/ctm-cagliari/1098/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-regione-autonoma-della-sardegna-consorzio-trasporti-e-mobilita-ctm-cagliari-gtfs-1193.zip?alt=media,http://dati.regione.sardegna.it/dataset/quadri-orari-ctm,39.186884464,39.3098295692,8.96281474474,9.3399880924,2022-03-23T18:52:01+00:00
1194,gtfs,IT,Piemonte,Cuneo,"Bus Company S.r.l., Gunetto Autolinee S.r.l., Bus Company S.r.l., GelosoBus S.r.l., RT Piemonte S.r.l., Autolinee Nuova Benese S.r.l., Autolinee Allasia S.r.l., Nuova S.A.A.R. S.r.l., SAV Autolinee S.r.l., S.A.C. S.r.l., Autolinee Valle Pesio S.r.l., ACTP S.r.l., Nuova Beccaria S.r.l., Giors S.n.c., Consorzio Trasporti GRANDA BUS",,https://transitfeeds.com/p/cuneo/622/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-piemonte-bus-company-srl-gtfs-1194.zip?alt=media,,43.8792200012265,45.2725800012072,6.93821999981286,8.47731999998803,2022-03-23T18:52:34+00:00
1195,gtfs,US,Colorado,Broomfield,Easy Ride Transportation,,https://data.trilliumtransit.com/gtfs/broomfield-co-us/broomfield-co-us--flex-v2.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-colorado-easy-ride-transportation-gtfs-1195.zip?alt=media,,39.938612,39.938612,-105.044226,-105.044226,2022-04-26T01:02:25+00:00
1196,gtfs,ES,Bizkaia,Bilbao,La Union,,https://transitfeeds.com/p/la-union/659/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/es-bizkaia-la-union-gtfs-1196.zip?alt=media,,0.0,43.359077,-3.073337,0.0,2022-03-23T18:52:41+00:00
1197,gtfs,US,South Carolina,Columbia,The Comet,,http://data.trilliumtransit.com/gtfs/thecomet-sc-us/thecomet-sc-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-south-carolina-the-comet-gtfs-1197.zip?alt=media,http://data.trilliumtransit.com/gtfs/thecomet-sc-us/thecomet-sc-us.zip,33.83011,34.293952,-81.604142,-80.3393590826346,2022-03-23T18:52:47+00:00
1198,gtfs,US,California,Long Beach,Long Beach Transit (LBT),,https://transitfeeds.com/p/long-beach-transit/704/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-long-beach-transit-lbt-gtfs-1198.zip?alt=media,,33.742939,34.069347,-118.447726,-118.063516,2022-03-23T18:52:56+00:00
1199,gtfs,DZ,,,Société Nationale des Transports Ferroviaires (SNTF Algeria),,https://transitfeeds.com/p/societe-nationale-des-transports-ferroviaires/1084/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/dz-unknown-societe-nationale-des-transports-ferroviaires-sntf-algeria-gtfs-1199.zip?alt=media,,35.538055,36.895996,-0.638956,7.758861,2022-03-23T18:52:58+00:00
1200,gtfs,ES,Bizkaia,Bilbao,Metro Bilbao,,https://transitfeeds.com/p/metro-bilbao/656/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/es-bizkaia-metro-bilbao-gtfs-1200.zip?alt=media,,43.23521,43.40162,-3.03896,-2.88125,2022-03-23T18:53:03+00:00
1201,gtfs,FR,Hauts-de-France,Lille,Réseau de transport Transpole de la Métropole Européenne de Lille,,https://transitfeeds.com/p/metropole-europeenne-de-lille/1202/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-hauts-de-france-reseau-de-transport-transpole-de-la-metropole-europeenne-de-lille-gtfs-1201.zip?alt=media,https://opendata.lillemetropole.fr/explore/dataset/transport_arret_transpole-point/?disjunctive.filename&disjunctive.commune,50.528149,50.788235,2.801618,3.273467,2022-03-23T18:53:10+00:00
1202,gtfs,DE,Baden-Württemberg,Ostalbkreis,OstalbMobil – Verkehrsverbund,,https://transitfeeds.com/p/ostalbmobil-verkehrsverbund/1236/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-baden-wurttemberg-ostalbmobil-verkehrsverbund-gtfs-1202.zip?alt=media,https://www.nvbw.de/aufgaben/digitale-mobilitaet/lizenz/,0.0,48.945571,0.0,10.436735,2022-03-23T18:53:19+00:00
