mdb_source_id,data_type,location.country_code,location.subdivision_name,location.municipality,provider,name,urls.direct_download,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,Transitland ID,Transit Feeds ID
634,gtfs,US,Oregon,Eugene,Eugene to Coos Bay,,http://oregon-gtfs.com/gtfs_data/eugenetocoosbay-or-us/eugenetocoosbay-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-eugene-to-coos-bay-gtfs-634.zip?alt=media,,43.3690937400976,44.291248,-124.213689565659,-116.958099,2022-03-16T20:11:35+00:00,,tac-transportation/465
635,gtfs,US,Oregon,Portland,HUT Airport Shuttle,,http://oregon-gtfs.com/gtfs_data/hut-or-us/hut-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-hut-airport-shuttle-gtfs-635.zip?alt=media,,,,,,2022-03-16T20:11:35+00:00,,hut-airport-shuttle/467
636,gtfs,US,Oregon,Redmond,High Desert Point,,http://oregon-gtfs.com/gtfs_data/highdesertpoint-or-us/highdesertpoint-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-high-desert-point-gtfs-636.zip?alt=media,,,,,,2022-03-16T20:11:36+00:00,,tac-transportation/466
637,gtfs,US,Oregon,Brookings,SouthWest POINT,,http://oregon-gtfs.com/gtfs_data/southwestpoint-or-us/southwestpoint-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-southwest-point-gtfs-637.zip?alt=media,,41.75243,42.44289,-124.288308,-121.74456016694,2022-03-16T20:11:38+00:00,,southwest-point/482
638,gtfs,US,Oregon,Astoria,NorthWest POINT,,http://oregon-gtfs.com/gtfs_data/northwestpoint-or-us/northwestpoint-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-northwest-point-gtfs-638.zip?alt=media,,45.510194773438,46.19021,-123.9618428,-122.676247358322,2022-03-16T20:11:40+00:00,,northwest-point/474
639,gtfs,US,Oregon,Eugene,Cascade POINT,,http://oregon-gtfs.com/gtfs_data/cascadespoint-or-us/cascadespoint-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-cascade-point-gtfs-639.zip?alt=media,,44.0428,45.52899472,-123.102580956479,-122.5958316,2022-03-16T20:11:41+00:00,,cascade-point/441
640,gtfs,US,North Carolina,Charlotte,Charlotte Area Transit System (CATS),,https://transitfeeds.com/p/charlotte-area-transit-system/1252/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-north-carolina-charlotte-area-transit-system-cats-gtfs-640.zip?alt=media,,34.927049,35.509161,-81.179888,-80.558109,2022-03-16T20:11:47+00:00,,charlotte-area-transit-system/1252
641,gtfs,FR,Auvergne-Rhône-Alpes,Grenoble,Syndicat Mixte des Mobilités de l'Aire Grenobloise,,https://data.mobilites-m.fr/api/gtfs/BUL,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-auvergne-rhone-alpes-syndicat-mixte-des-mobilites-de-laire-grenobloise-gtfs-641.zip?alt=media,https://data.mobilites-m.fr/api/gtfs/BUL,45.192984,45.198644,5.724519,5.726084,2022-04-26T00:32:07+00:00,,
642,gtfs,FR,Bourgogne-Franche-Comté,Communauté de l'Auxerrois,Communauté d'Agglomération de l'Auxerrois,,https://www.data.gouv.fr/fr/datasets/r/ade0bfc2-0e7a-4087-96dd-a76aeb61d196,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-bourgogne-franche-comte-communaute-dagglomeration-de-lauxerrois-gtfs-642.zip?alt=media,https://transport.data.gouv.fr/datasets/reseau-de-transports-en-commun-de-la-communaute-dagglomeration-de-lauxerrois/,47.6975469997436,47.88501109,3.41888516,3.702427,2022-04-26T02:17:53+00:00,,
643,gtfs,IT,Liguria,Genoa,ATP Esercizio Srl,,https://transitfeeds.com/p/atp-esercizio-srl/1203/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-liguria-atp-esercizio-srl-gtfs-643.zip?alt=media,,44.1707573,44.6251068,8.56546783,9.61942291,2022-03-23T14:43:20+00:00,,atp-esercizio-srl/1203
