mdb_source_id,Transitland ID,Transit Feeds ID
345,f-djm2-regionaltransitsystem,regional-transit-system/342
346,f-djmu-jacksonvilletransportationauthority,jacksonville-transportation-authority/331
347,f-djn-centralfloridaregionaltransitauthority,central-florida-regional-transportation-authority/373
348,,"sarasota-county-area-transit/376, space-coast-area-transit/395"
349,f-djn-votran,votran/802
350,f-djq-sunshinebuscompany~fl~us,sunshine-bus-company/549
351,f-djwq-chathamareatransit,
352,f-djz4-carta~sc~us,charleston-area-regional-transportation-authority/537
353,f-dn4m-huntsvilleshuttle,huntsville-shuttle/585
354,f-dn5b-cobbavl,cobb-community-transit/372
355,f-dn5b-georgiatechtrolley~stingershuttles,
356,f-dn5bpc-atlantastreetcar,city-of-atlanta/424
357,f-dn5bpr-atlanticstationshuttle,
358,f-dn5fv-cherokeeareatransportationsystemcats,
359,,chattanooga-area-regional-transportation-authority/360
360,f-dn6-regionaltransportationauthorityofmiddletennessee~nashville,nashville-mta/220
361,f-dn6hr-tma~tn~us,franklin-transit-authority/1251
362,f-dne-bgcap~ky~us,blue-grass-ultra-transit-service/950
363,f-dnfq-bloomingtontransit,bloomington-transit/377
364,f-dng1-transitauthorityofrivercity,transit-authority-of-river-city/265
365,f-dngb-lextran,lextran/276
366,f-dngy-southwestohioregionaltransitauthority,
367,f-dngy-transitauthorityofnorthernkentucky,transit-authority-of-northern-kentucky/302
368,f-dnh-marta,marta/65
369,f-dnh0-gwinnettcountytransit,gwinnett-county-transit/862
370,f-dnh01-cliffshuttles~emoryuniversity,
371,f-dnh08-bucshuttle,
372,f-dnq9-ckrider~nc~us,rider-transit/768
373,f-dnr-piedmontauthorityforregionaltransportation,piedmont-authority-for-regional-transportation/538
374,f-dnr-tta~regionalbus~nc~us,triangle-transit/385
375,f-dnrg-cary~transit~nc~us,cary-transit/366
376,f-dnru-chapel~hill~transit~nc~us,chapel-hill-transit/367
377,f-dnru-durham~area~transit~authority~nc~us,go-durham/369
378,f-dnrug-duke~nc~us,duke-university/368
379,f-dnwe-pulaski~va~us,pulaski-area-transit/406
380,f-dnwe-radford~va~us,radford-transit/405
381,f-dnxs-gltc~lynchburg~va~us,greater-lynchburg-transit-co/673
382,f-dnzft-hdpt,harrisonburg-transit/589
383,f-downey~ca~us,downeylink/1338
384,f-dp-945963,
385,f-dp04-smtd,springfield-mass-transit-district/534
386,f-dp0r-citylink,citylink/780
387,f-dp1b-terrehautetransit~in~us,terre-haute-transit/672
388,f-dp1h-champaignurbanamasstransitdistrict,champaign-urbana-mass-transit-district/162
389,f-dp3-cta,chicago-transit-authority/165
390,f-dp3-pace,pace/171
391,f-dp4j-citybus,greater-lafayette-public-transportation-corporation-citybus/1131
392,f-dp89-beloittransit~wi~us,beloit-transit/762
393,f-dp8d-jts~wi~us,janesville-transit-system/667
394,f-dp8m-metrotransit~cityofmadison,metro-transit-madison/181
395,f-dp9e-belleurbansystem,city-of-racine/832
396,f-dp9k-waukeshacounty~wi~us,waukesha-metro-transit/604
397,f-dpc4-oshkosh~wi~us,go-transit-oshkosh/403
398,f-dpc5-valleytransit,
399,f-dpc8-sheboygan~wi~us,
400,f-dpe-therapid,the-rapid/380
401,f-dpe0-kalamazoometrotransit,
402,f-dpeg-capitalareatransportationauthority,capital-area-transportation-authority/379
403,f-dph4-greaterdaytonrta,
404,f-dphg-centralohiotransitauthority,central-ohio-transit-authority/216
405,f-dpmf-nps~cuva~scenic~rail,national-park-service/618
406,f-dpmg-rta,greater-cleveland-regional-transit-authority/214
407,f-dpp-mountainlinetransitauthority~wvuprt,
408,f-dppc-alleganycountytransit,allegany-county-transit/146
409,f-dppn-portauthorityofalleghenycounty,port-authority-of-allegheny-county/274
410,f-dpq-lakecounty~oh~us,laketran/718
411,f-dpq-metro,
412,f-dprp-eriemetropolitantransitauthority,erie-metropolitan-transit-authority/1254
413,f-dps-michiganflyer~mi~us,michigan-flyer/913
414,f-dps-smart,
415,f-dps2-annarborareatransportationauthority,ann-arbor-transportation-authority/147
416,f-dps2w-universityofmichigantransitservices,university-of-michigan-parking-transportation-services/316
417,f-dpsby4-detroitpeoplemover,detroit-transportation-corporation/1043
418,f-drm-thegreaterattleborotauntonregionaltransitauthority,massdot/98
419,f-drm-vineyardfastferry~ri~us,massdot/650
420,f-drmg-marthasvineyard~ma~us,"massdot/681, massdot/107"
421,f-drmm-southeasternregionaltransitauthority,massdot/106
422,f-drmr-brockton~ma~us,massdot/94
423,f-drms-cuttyhunkferryco~ma~us,massdot/645
424,f-drmu1-patriotpartyboats~ma~us,massdot/648
425,f-drq-freedomcruiseline~ma~us,massdot/647
426,f-drq4-thewave~nantucketregionaltransitauthority,massdot/103
427,f-drq5-hylinecruises~ma~us,massdot/646
428,f-drs-crtransit~vt~us,the-current/559
429,f-drs-franklinregionaltransitauthority,massdot/97
430,f-drs-thebus~vt~us,marble-valley-regional-transit-district/565
431,f-drs-truenorthtransit~ma~us,
432,f-drsb-wrta,massdot/108
433,f-drsf-montachusett~ma~us,massdot/102
434,f-drsh-dvtamoover~vt~us,the-moover/560
435,f-drt-baystatecruisecompany~ma~us,massdot/643
436,"f-drt-coachcompany, f-dr-coachcompany~ma~us","coach-company/1032, massdot/111"
437,f-drt-mbta,mbta/64
438,f-drt0-limoliner~ma~us,limoliner/1030
439,f-drt0-metrowestregionaltransitauthority,massdot/101
440,f-drt3-123bc~ma~us,128-business-council/763
441,f-drt3-909983,
442,f-drt3-middlesex~ma~us,middlesex-3-tma/1139
443,f-drt3-yankee,massdot/115
444,f-drt6-lowellregionaltransitauthority,massdot/99
445,f-drt7-merrimackvalley~ma~us,massdot/100
446,f-drt8-nps~boha~ferries,national-park-service/617
447,f-drtd-capeann~ma~us,massdot/95
448,f-dru-ruralcommunity~vt~us,rural-community-transportation/563
449,f-dru-stagecoach~vt~us,stagecoach-transportation-services/564
450,f-dru-vttranslines~vt~us,vermont-translines/566
451,f-dru8-advancetransit,
452,f-drvc-rtp~me~us,lakes-region-explorer/755
453,f-dry0-cityofsouthportland,city-of-south-portland/1152
454,f-dry0-maine~greaterportlandmetrobus,greater-portland-metro/1151
455,f-dsi~co~us,envida/1318
456,f-durango~transit~co,durango-transit/1306
457,f-dutchess~county~ny,
458,f-elsegundo~ca~us,
459,,
460,f-express-arrow,
461,f-farmville~va~us,
462,f-gallup~express,
463,f-get~va~us,
464,f-dpsc-detroitdepartmentoftransportation,detroit-department-of-transportation/299
465,f-dpx-wwwnftacom,niagara-frontier-transportation-authority/230
466,f-dq-mtamaryland~bus,mta-maryland/247
467,f-dq-mtamaryland~commuterbus,mta-maryland/247
468,f-dq-mtamaryland~marc,mta-maryland/247
469,f-dq-mtamaryland~raillink,mta-maryland/247
470,f-dq-mtamaryland~subwaylink,mta-maryland/247
471,f-dq25-capital~area~transit~nc~us,go-raleigh/365
472,f-dq2s-tarriver~nc~us,tar-river-transit/751
473,f-dq9-hrt,hampton-roads-transit/358
474,,wata/941
475,f-dqc-delmarvacommunitytransit,delmarva-community-transit/1079
476,,
477,f-dqc-thebusofprincegeorgescounty,prince-georges-county-thebus/1052
478,f-dqc-virginiarailwayexpress,virginia-railway-express/250
479,f-dqc7-charlescountyvango,charles-county-vango/1078
480,f-dqce-calvertcountypublictransportation,calvert-county-public-transportation/1077
481,f-dqch-prtc,prtc/357
482,f-dqchv-alexandriatransitcompanydash,alexandria-transit-company/423
483,f-dqcj-fairfaxconnector,fairfax-connector/295
484,f-dqcj1-fairfaxcue,fairfax-cue/1042
485,f-dqcjj-arlingtontransit,arlington-transit/149
486,f-dqcjr-dccirculator,wmata/884
487,f-dqcm2-dcstreetcar,wmata/883
488,f-dqcn-montgomerycountymdrideon,montgomery-county-department-of-transportation/235
489,f-dqcq-regionaltransportationagencyofcentralmaryland,regional-transportation-agency-of-central-maryland/574
490,f-dqcqz-bwithurgoodmarshallairport,bwi-airport-shuttle/568
491,f-dqct-annapolistransit,annapolis-transit/567
492,f-dqcv-queenannescountyride,county-ride/571
493,f-dqcx8-charmcitycirculator,charm-city-circulator/1041
494,f-dqf3-shoretransit,tri-county-counsil/1149
495,f-dqfd7-oceancitytransporation,ocean-city-transportation/573
496,f-dr-peterpanbuslines,massdot/113
497,,washington-county-transit/1081
498,f-dr0b-transitservicesoffrederickcounty,frederick-county-transit/1082
499,f-dr1-rabbittransit,rabbit-transit/383
500,f-dr10-carrolltransitsystem~carrollareatransitsystemcats,carroll-area-transit-system/569
501,f-dr1b-harfordtransitlink,harford-transit/572
502,f-dr4-septa~bus,septa/263
503,f-dr4-septa~rail,septa/262
504,f-dr41-ceciltransit,cecil-transit/570
505,f-dr4e-patco,patco/533
506,f-dr4r-lanta,lehigh-and-northampton-transportation-authority/612
507,f-dr5-mtanyclirr,mta/86
508,f-dr5-nj~transit~bus,nj-transit/409
